Client Recipient,Client Code,Record Type,Payee Code,Song Title,Song Code,Source Name,Composers,Source Code, Income Type,Catalogue Number,Income Period,Distribution Number,Perc. Paid To Us,Fraction Numerator,Fraction Denominator,Amount,Units,Royalty Payable,Payout Perc.,Source Perc.,Original Perc. Received,Company Code,Sub Code,Royalty Note,Usage Year,Country Of Origin,Country Of Sale,Film Or Series Name,Statement ID Year,Statement ID Number,Royalty Country Code,Royalty Country Description,Misc. Information,Price,Originating System,Incoming Perc. Received,Member Number,Member Name,Label Code Number,Label Broadcast Channel,Artist,Album Program Title,Episode Title,License Number,Secondary Title,ISAN Number,Exploit Source Code,Exploitation Source,Income Type Description,Domestic Foreign
"",011902,1,011902,"DALICKS",0117119,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"AMAZON",18031803,0000,100.000,00,00,0.06,1,0.05,075.000,000.000,000.000,"06","00","","","","","","19",00426,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"DALICKS",0117119,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"SPOTIFY",18061806,0000,100.000,00,00,0.03,51,0.02,075.000,000.000,000.000,"06","00","","","","","","19",00068,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"DALICKS",0117119,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",04,"AMAZON",18031803,0000,050.000,00,00,0.01,1,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00425,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"DALICKS",0117119,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",04,"SPOTIFY",18061806,0000,050.000,00,00,0.01,51,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00069,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"DALICKS",0117119,"PEL MECH (ITUNES)","STEIN","I091",01,"",18061806,0000,100.000,00,00,0.01,0,0.01,075.000,000.000,100.000,"06","00","","","","","","19",00068,"","","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"DALICKS",0117119,"PEL PRS","STEIN","P129",04,"",18061806,0000,050.000,00,00,0.01,0,0.01,050.000,000.000,100.000,"06","00","","","","","","19",00069,"","","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"DFE","STEIN","D220",01,"PRO-RATA PAYMEN",19011903,0000,100.000,00,00,0.05,0,0.04,075.000,000.000,000.000,"06","00","","","","","","19",00520,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"FABRIC WORLD","STEIN","F150",01,"FABRIC26",18101812,0000,100.000,00,00,0.14,22,0.11,075.000,000.000,000.000,"06","00","","","","","","19",00272,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"FABRIC WORLD","STEIN","F150",01,"FABRIC26",19011903,0000,100.000,00,00,0.08,4,0.06,075.000,000.000,000.000,"06","00","","","","","","19",00497,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"AMAZON",17091709,0000,100.000,00,00,0.01,1,0.01,075.000,000.000,000.000,"06","00","","","","","","19",00068,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"AMAZON",18031803,0000,100.000,00,00,0.06,1,0.05,075.000,000.000,000.000,"06","00","","","","","","19",00426,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"APPLE MUSIC",18041806,0000,100.000,00,00,0.03,22,0.02,075.000,000.000,000.000,"06","00","","","","","","19",00068,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"SPOTIFY",18061806,0000,100.000,00,00,0.04,66,0.03,075.000,000.000,000.000,"06","00","","","","","","19",00068,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",04,"AMAZON",18031803,0000,050.000,00,00,0.01,1,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00425,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",04,"APPLE MUSIC",18041806,0000,050.000,00,00,0.01,22,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00069,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",04,"ITUNES",18071809,0000,050.000,00,00,0.03,3,0.02,050.000,000.000,000.000,"06","00","","","","","","19",00425,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",04,"SPOTIFY",18061806,0000,050.000,00,00,0.02,66,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00069,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"PEL MECH (ITUNES)","STEIN","I091",01,"",18061806,0000,100.000,00,00,0.01,0,0.01,075.000,000.000,100.000,"06","00","","","","","","19",00068,"","","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"PEL PRS","STEIN","P129",04,"",18061806,0000,050.000,00,00,0.01,0,0.01,050.000,000.000,100.000,"06","00","","","","","","19",00069,"","","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"TEMPLE OF DOOM",0117120,"PRS","STEIN","0445",04,"KISS (100 FM LO",17031703,0000,050.000,00,00,0.01,1,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00343,"","","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"FORMULA ONE",0117121,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"ITUNES",18061806,0000,100.000,00,00,0.06,1,0.05,075.000,000.000,000.000,"06","00","","","","","","19",00068,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"FORMULA ONE",0117121,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",04,"ITUNES",18061806,0000,050.000,00,00,0.01,1,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00069,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"FORMULA ONE",0117121,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",04,"ITUNES",18071808,0000,050.000,00,00,0.01,1,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00425,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"FORMULA ONE",0117121,"PEL MECH (ITUNES)","STEIN","I091",01,"",18061806,0000,100.000,00,00,0.02,0,0.02,075.000,000.000,100.000,"06","00","","","","","","19",00068,"","","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"FORMULA ONE",0117121,"PEL PRS","STEIN","P129",04,"",18061806,0000,050.000,00,00,0.01,0,0.01,050.000,000.000,100.000,"06","00","","","","","","19",00069,"","","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"BUCKS MUSIC GROUP SPAIN","STEIN","B047",01,"",18071812,0000,085.000,00,00,0.26,1,0.20,075.000,000.000,000.000,"06","00","","","","","","19",00291,"","","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","F"
"",011902,1,011902,"SIGNAL",0117122,"DPM INC CANADA","STEIN","D062",04,"",18101812,0000,085.000,00,00,0.05,0,0.03,058.823,000.000,000.000,"06","00","","","","","","19",00134,"","","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","F"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE AUSTRIA","STEIN","GOAT",04,"ITUNES",18071808,0000,050.000,00,00,0.01,1,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00425,"AT","AUSTRIA","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE BELGIUM","STEIN","GOBE",01,"ITUNES",18061806,0000,100.000,00,00,0.04,2,0.03,075.000,000.000,000.000,"06","00","","","","","","19",00068,"BE","BELGIUM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE BELGIUM","STEIN","GOBE",04,"ITUNES",18061806,0000,050.000,00,00,0.01,2,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00069,"BE","BELGIUM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE BELGIUM","STEIN","GOBE",04,"ITUNES",18071808,0000,050.000,00,00,0.01,2,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00425,"BE","BELGIUM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE SWITZERLAND","STEIN","GOCH",01,"APPLE MUSIC",18041806,0000,100.000,00,00,0.02,43,0.02,075.000,000.000,000.000,"06","00","","","","","","19",00068,"CH","SWITZERLAND","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE CZECH REPUBLIC","STEIN","GOCZ",01,"ITUNES",18061806,0000,100.000,00,00,0.01,1,0.01,075.000,000.000,000.000,"06","00","","","","","","19",00068,"CZ","CZECH REPUBLIC","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE CZECH REPUBLIC","STEIN","GOCZ",04,"APPLE MUSIC",18041806,0000,050.000,00,00,0.01,22,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00069,"CZ","CZECH REPUBLIC","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE GERMANY","STEIN","GODE",01,"AMAZON",17111711,0000,100.000,00,00,0.03,1,0.02,075.000,000.000,000.000,"06","00","","","","","","19",00068,"DE","GERMANY","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE GERMANY","STEIN","GODE",01,"AMAZON",18011802,0000,100.000,00,00,0.17,5,0.13,075.000,000.000,000.000,"06","00","","","","","","19",00426,"DE","GERMANY","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE GERMANY","STEIN","GODE",01,"APPLE MUSIC",18041806,0000,100.000,00,00,0.01,23,0.01,075.000,000.000,000.000,"06","00","","","","","","19",00068,"DE","GERMANY","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE GERMANY","STEIN","GODE",01,"APPLE MUSIC",18041806,0000,100.000,00,00,0.10,262,0.08,075.000,000.000,000.000,"06","00","","","","","","19",00068,"DE","GERMANY","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE GERMANY","STEIN","GODE",01,"GOOGLE",18041806,0000,100.000,00,00,0.02,1,0.02,075.000,000.000,000.000,"06","00","","","","","","19",00426,"DE","GERMANY","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE GERMANY","STEIN","GODE",01,"ITUNES",18061806,0000,100.000,00,00,0.02,1,0.02,075.000,000.000,000.000,"06","00","","","","","","19",00068,"DE","GERMANY","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE GERMANY","STEIN","GODE",04,"AMAZON",18011802,0000,050.000,00,00,0.04,5,0.02,050.000,000.000,000.000,"06","00","","","","","","19",00425,"DE","GERMANY","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE GERMANY","STEIN","GODE",04,"APPLE MUSIC",18041806,0000,050.000,00,00,0.01,23,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00069,"DE","GERMANY","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE GERMANY","STEIN","GODE",04,"APPLE MUSIC",18041806,0000,050.000,00,00,0.10,262,0.05,050.000,000.000,000.000,"06","00","","","","","","19",00069,"DE","GERMANY","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE GERMANY","STEIN","GODE",04,"ITUNES",18071808,0000,050.000,00,00,0.01,1,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00425,"DE","GERMANY","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE GERMANY","STEIN","GODE",04,"ITUNES",18071809,0000,050.000,00,00,0.07,14,0.04,050.000,000.000,000.000,"06","00","","","","","","19",00425,"DE","GERMANY","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE DENMARK","STEIN","GODK",01,"APPLE MUSIC",18041806,0000,100.000,00,00,0.01,10,0.01,075.000,000.000,000.000,"06","00","","","","","","19",00068,"DK","DENMARK","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE DENMARK","STEIN","GODK",04,"APPLE MUSIC",18041806,0000,050.000,00,00,0.01,10,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00069,"DK","DENMARK","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE SPAIN","STEIN","GOES",01,"APPLE MUSIC",18041806,0000,100.000,00,00,0.03,78,0.02,075.000,000.000,000.000,"06","00","","","","","","19",00068,"ES","SPAIN","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE SPAIN","STEIN","GOES",04,"APPLE MUSIC",18041806,0000,050.000,00,00,0.05,78,0.03,050.000,000.000,000.000,"06","00","","","","","","19",00069,"ES","SPAIN","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE FRANCE","STEIN","GOFR",01,"APPLE MUSIC",18041806,0000,100.000,00,00,0.19,173,0.14,075.000,000.000,000.000,"06","00","","","","","","19",00068,"FR","FRANCE","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE FRANCE","STEIN","GOFR",04,"APPLE MUSIC",18041806,0000,050.000,00,00,0.03,173,0.02,050.000,000.000,000.000,"06","00","","","","","","19",00069,"FR","FRANCE","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"AMAZON",17071709,0000,100.000,00,00,0.12,9,0.09,075.000,000.000,000.000,"06","00","","","","","","19",00068,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"AMAZON",17101803,0000,100.000,00,00,0.37,28,0.28,075.000,000.000,000.000,"06","00","","","","","","19",00426,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"AMAZON",18021802,0000,100.000,00,00,0.03,1,0.02,075.000,000.000,000.000,"06","00","","","","","","19",00426,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"APPLE MUSIC",18041806,0000,100.000,00,00,0.69,822,0.52,075.000,000.000,000.000,"06","00","","","","","","19",00068,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"APPLE MUSIC",18041806,0000,100.000,00,00,0.86,699,0.65,075.000,000.000,000.000,"06","00","","","","","","19",00068,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"GOOGLE",18011803,0000,100.000,00,00,0.02,24,0.02,075.000,000.000,000.000,"06","00","","","","","","19",00068,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"GOOGLE",18041806,0000,100.000,00,00,0.03,1,0.02,075.000,000.000,000.000,"06","00","","","","","","19",00426,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"ITUNES",18061806,0000,100.000,00,00,0.12,3,0.09,075.000,000.000,000.000,"06","00","","","","","","19",00068,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"ITUNES",18061806,0000,100.000,00,00,0.36,26,0.27,075.000,000.000,000.000,"06","00","","","","","","19",00068,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",01,"SPOTIFY",18061806,0000,100.000,00,00,0.24,364,0.18,075.000,000.000,000.000,"06","00","","","","","","19",00068,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","MECHANICALS","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",04,"AMAZON",17071709,0000,050.000,00,00,0.02,9,0.01,050.000,000.000,000.000,"06","00","","","","","","19",00069,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",04,"AMAZON",17101803,0000,050.000,00,00,0.06,28,0.03,050.000,000.000,000.000,"06","00","","","","","","19",00425,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
"",011902,1,011902,"SIGNAL",0117122,"PEL GOOGLE UNITED KINGDOM","STEIN","GOGB",04,"APPLE MUSIC",18041806,0000,050.000,00,00,0.43,699,0.22,050.000,000.000,000.000,"06","00","","","","","","19",00069,"GB","UNITED KINGDOM","",0000.00,"",0000000,"","","","","","","","","","","","","PERFORMANCE","D"
