PERIOD,W OR P,PARTICIPANT NAME,PARTICIPANT #,IP #,TITLE NAME,TITLE #,PERF SOURCE,COUNTRY OF PERFORMANCE,SHOW NAME,EPISODE NAME,SHOW #,USE CODE,TIMING,PARTICIPANT %,PERF COUNT,BONUS LEVEL,ROYALTY AMOUNT,WITHHOLD,PERF PERIOD,CURRENT ACTIVITY AMT,HITS SONG OR TV NET SUPER USAGE BONUS,STANDARDS OR TV NET THEME BONUS,FOREIGN SOCIETY ADJUSTMENT,COMPANY CODE,COMPANY NAME
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,ANONYMOUS,8952214,RADIO,UNITED STATES,,,0,FF,000:00,6.25,12,,0.21,,20182,0.21,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,BABY I,16032652,RADIO,UNITED STATES,,,0,FF,000:00,16.7,6,,0.05,,20182,0.05,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,BACK TO THE WAY,11645555,RADIO,UNITED STATES,,,0,FF,000:00,7.5,2,,0.01,,20182,0.01,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,BEST THING I NEVER HAD,13077171,RADIO,UNITED STATES,,,0,FF,000:00,9.16,394,,6.57,,20182,6.57,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,BLUE JEANS,6101822,RADIO,UNITED STATES,,,0,FF,000:00,12.5,8,,0.11,,20182,0.11,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,FOUR MINUTES,8131117,RADIO,UNITED STATES,,,0,FF,000:00,1.26,234,,0.65,,20182,0.65,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,GAME CHANGER,19138527,RADIO,UNITED STATES,,,0,FF,000:00,10,494,,10.81,,20182,10.81,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,GET INVOLVED,10873017,RADIO,UNITED STATES,,,0,FF,000:00,15,4,,0.02,,20182,0.02,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,GRAVITY,20040422,RADIO,UNITED STATES,,,0,FF,000:00,15,19,,0.01,,20182,0.01,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,I NOMINATE YOU,8342042,RADIO,UNITED STATES,,,0,FF,000:00,6.26,2,,0.01,,20182,0.01,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,ICE BOX,8547226,RADIO,UNITED STATES,,,0,FF,000:00,6.25,337,,2.35,,20182,2.35,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,LIKE A BOY,8406077,RADIO,UNITED STATES,,,0,FF,000:00,2,35,,0.13,,20182,0.13,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,LONG GONE,10010738,RADIO,UNITED STATES,,,0,FF,000:00,2.08,4,,0.02,,20182,0.02,0,0,,0,BMI
20182,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,PRAY FOR ME,13616120,RADIO,UNITED STATES,,,0,FF,000:00,15,380,,7.49,,20182,7.49,0,0,,0,BMI
