PERIOD,W OR P,PARTICIPANT NAME,PARTICIPANT #,IP #,TITLE NAME,TITLE #,PERF SOURCE,COUNTRY OF PERFORMANCE,SHOW NAME,EPISODE NAME,SHOW #,USE CODE,TIMING,PARTICIPANT %,PERF COUNT,BONUS LEVEL,ROYALTY AMOUNT,WITHHOLD,PERF PERIOD,CURRENT ACTIVITY AMT,HITS SONG OR TV NET SUPER USAGE BONUS,STANDARDS OR TV NET THEME BONUS,FOREIGN SOCIETY ADJUSTMENT,COMPANY CODE,COMPANY NAME
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,ANONYMOUS,8952214,RADIO,UNITED STATES,,,0,FF,000:00,6.25,12,,0.25,,20203,0.25,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,BACK TO THE WAY,11645555,RADIO,UNITED STATES,,,0,FF,000:00,7.5,2,,0.01,,20203,0.01,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,BEST THING I NEVER HAD,13077171,RADIO,UNITED STATES,,,0,FF,000:00,9.16,193,,3.64,,20203,3.64,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,BLUE JEANS,6101822,RADIO,UNITED STATES,,,0,FF,000:00,12.5,12,,1.24,,20203,1.24,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,FOUR MINUTES,8131117,RADIO,UNITED STATES,,,0,FF,000:00,1.26,100,,0.12,,20203,0.12,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,GAME CHANGER,19138527,RADIO,UNITED STATES,,,0,FF,000:00,10,345,,2.67,,20203,2.67,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,GRAVITY,20040422,RADIO,UNITED STATES,,,0,FF,000:00,15,51,,0.07,,20203,0.07,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,I NOMINATE YOU,8342042,RADIO,UNITED STATES,,,0,FF,000:00,6.26,10,,0.02,,20203,0.02,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,ICE BOX,8547226,RADIO,UNITED STATES,,,0,FF,000:00,6.25,165,,1.2,,20203,1.2,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,LIKE A BOY,8406077,RADIO,UNITED STATES,,,0,FF,000:00,2,40,,0.15,,20203,0.15,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,PRAY FOR ME,13616120,RADIO,UNITED STATES,,,0,FF,000:00,15,103,,1.12,,20203,1.12,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,PROMISE RING,9118945,RADIO,UNITED STATES,,,0,FF,000:00,16.67,16,,0.86,,20203,0.86,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,RADAR,9267319,RADIO,UNITED STATES,,,0,FF,000:00,6.26,6,,0.04,,20203,0.04,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,RED LIGHT,7032540,RADIO,UNITED STATES,,,0,FF,000:00,6.9,2,,0.02,,20203,0.02,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,SHOW YOU HOW,14338859,RADIO,UNITED STATES,,,0,FF,000:00,25,2,,0.05,,20203,0.05,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,SO SEXY,12444657,RADIO,UNITED STATES,,,0,FF,000:00,50,2,,0.02,,20203,0.02,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,STUNNAS,8341404,RADIO,UNITED STATES,,,0,FF,000:00,6.26,4,,0.05,,20203,0.05,0,0,,0,BMI
20203,P,CHRISTOPHER MATTHEW MUSIC,776784,356211188,THAT GIRL,5827915,RADIO,UNITED STATES,,,0,FF,000:00,12.5,22,,0.89,,20203,0.89,0,0,,0,BMI
